project,repository,tag,digest,size_mb,push_time,pull_time,status
2fauth,secloudit-2fauth,v1.0.0,sha256:325a830464f4bdcceeb8a3955eee71ce8b5b771d4e3a2b08aad0f2be38e2a498,33,2024-06-19T08:31:30.303Z,2025-10-14T23:29:36.542Z,migrate
ai-platform,mlflow-auth-sidecar,latest,sha256:ccd3bb6ff04dc5c69487d5a01b5339078fad2f8da68bb38c6523086fdbb4a154,52,2026-03-16T00:43:32.493Z,2026-03-16T01:35:17.349Z,migrate
ai-platform,orchestration-service,ct-v3,sha256:dd3521a4f9bae92458849b397c324340bd5b7938a6af415592b96c911af5cb01,137,2026-03-10T02:06:32.270Z,2026-03-10T02:06:35.905Z,migrate
ai-platform,orchestration-service,ct-v2,sha256:b897803a21707afe4dfdecb1b7ddbc65a4df8ae451a5dbfd082986ccd57e0c96,137,2026-03-09T10:20:14.997Z,2026-03-09T10:20:19.320Z,migrate
ai-platform,orchestration-service,ct-v1,sha256:f6205d7b4fa71a032fcba5812e13d8ff1188aee582f388c5f0cd3069e93b32f0,137,2026-03-09T10:11:45.761Z,2026-03-09T10:13:12.833Z,migrate
ai-platform,orchestration-service,train-api-v7,sha256:16c084bdfd4fb216c93fa32ea49858ab30e0b19ebb68a5eb723b9e56d3379851,137,2026-03-09T09:25:21.889Z,2026-03-09T09:25:26.647Z,migrate
ai-platform,orchestration-service,train-api-v6,sha256:2f9e00af6c534240745a10a02af3bcd70aba1c99adcb9d08c8f9b490e8b309e3,137,2026-03-09T08:58:09.569Z,2026-03-09T08:58:18.073Z,migrate
ai-platform,orchestration-service,train-api-v5,sha256:429532a38631578f07475948bc277646872a9c79c1a69cd67fa9f52fc041bc03,137,2026-03-09T08:51:26.244Z,2026-03-09T08:51:30.260Z,migrate
ai-platform,orchestration-service,train-api-v4,sha256:a054ccd4d1d9440d36d2c3dc8834e2425466303e505e3796e03e6195e87820ef,137,2026-03-09T08:25:33.823Z,2026-03-09T08:25:38.229Z,migrate
ai-platform,orchestration-service,train-api-v3,sha256:c3ce47639af84d82215315e8119cb8c780ad4b779211fb6757c3fd679a5ec16e,137,2026-03-09T08:16:52.532Z,2026-03-09T08:16:56.487Z,migrate
ai-platform,orchestration-service,train-api-v2,sha256:ef162ec97bf6403cf5107c52898cf67556794cf51f3b1fed2823cd0fc06a9516,137,2026-03-09T08:07:59.625Z,2026-03-09T08:08:04.448Z,migrate
ai-platform,orchestration-service,train-api-v1,sha256:32c430417fdff88f5891b36585555522a03f2210e732fb0a75c485929753472d,137,2026-03-09T07:51:45.419Z,2026-03-09T07:52:40.800Z,migrate
ai-platform,kwater-backend,v1-gpu,sha256:f6703a03d8b649a8a548aa2350ab42ba0f2d4284b76d099d227997d8cb93eea6,4421,2026-03-06T11:31:00.354Z,never,migrate
ai-platform,kwater-backend,v1,sha256:4bdf0ff0b11bca9232ef9314c9763855d3a3b08ee478d4d486f155d2720eed93,643,2026-03-06T10:51:12.039Z,2026-03-06T10:53:44.510Z,migrate
ai-platform,kwater-backend,<untagged>,sha256:7850d4fb00664ec237256311f10a6532417771613adda37c8efaa7e2122d7c7f,643,2026-03-06T09:54:36.190Z,2026-03-06T09:55:38.054Z,migrate
ai-platform,kwater-backend,<untagged>,sha256:773df29604835b10d6a6b80c41eae0a6429ab29915b415bf45d83ac284221cf5,1347,2026-03-06T09:48:15.434Z,2026-03-06T09:48:22.881Z,migrate
ai-platform,kwater-backend,<untagged>,sha256:36174756b99fe911ad640bd4e2366abf13b8dc90d0f375b6ab387e917b902697,560,2026-03-06T09:22:28.993Z,2026-03-06T09:22:55.059Z,migrate
ai-platform,kwater-frontend,v1,sha256:4c3950c8cd9b037edbe09685dcd6e2b5964fb5e972d0902411d1dcf6fcae04a5,50,2026-03-06T10:36:19.622Z,2026-03-06T10:36:26.294Z,migrate
ai-platform,kwater-frontend,<untagged>,sha256:a5e6834470e09d12eaae1c8eba5d6dfd33b890b91fec66ec3e09ad3843139419,50,2026-03-06T10:25:54.386Z,2026-03-06T10:27:01.823Z,migrate
ai-platform,kwater-frontend,<untagged>,sha256:ef7fe5321b0bcea83b05360a1a3cae026130298a18e325310d0e479fc9207aee,50,2026-03-06T09:24:54.093Z,2026-03-06T09:25:49.927Z,migrate
ai-platform,kwater-frontend,<untagged>,sha256:62d4b6dc12610fb96838ef486ac29f168db40aa6f9e51cb25bd1d65372ec25f7,50,2026-03-06T09:22:23.300Z,2026-03-06T09:22:54.900Z,migrate
ai-platform,drift-frontend,latest,sha256:3d1adcee19d5d48d0e5746b3df482234127f6afc80498e69fb135e21c39ccb6e,72,2026-02-26T03:39:26.252Z,2026-02-26T03:42:32.399Z,migrate
ai-platform,drift-frontend,<untagged>,sha256:4488f0def0b215b363b991d7df7dd2adfe162489fd236a6bb8d06768c91babc6,72,2026-02-26T01:24:39.768Z,2026-02-26T02:02:44.750Z,migrate
ai-platform,drift-frontend,<untagged>,sha256:868eebcae484a18ffc5a1c5e0ab381b1d24b1eb52e462e1814f2856496fd5034,72,2026-02-26T01:05:27.234Z,never,migrate
ai-platform,drift-backend,latest,sha256:f8b32fca1a450cf02d6981fa1ca6bb18086d85fe802d1e4644506f3e04b80a85,4493,2026-02-26T02:26:00.643Z,2026-02-26T02:26:07.341Z,migrate
ai-platform,drift-backend,<untagged>,sha256:900b2f5f6bb99297b2f50478c1c46df29272e2bc9935d067ff3ca55a16e8bd93,674,2026-02-26T02:24:55.746Z,2026-02-26T02:25:13.790Z,migrate
