project,repo,tag,digest,size
calico,kube-controllers,v3.26.1,sha256:2c5526ad8cd69740448207b90f4077fd68a5d2e922014e32141b38a529295c55,31.28MB
calico,node,v3.26.1,sha256:7ec39ca11dba2ea498232ddd4abe7d3ef5a8089d9752f0739b88c5054a5e6fc1,86.92MB
calico,pod2daemon-flexvol,v3.26.1,sha256:6ee8f62078afa9b1e746671149f9ee7ec1380d582d76ad0423d139fd3719aa52,7.14MB
calico,csi,v3.26.1,sha256:3a3d85c8800173d89cee369c3c5238ad0c5f3997dfe1a73378f6b81cc281ee17,8.71MB
calico,node-driver-registrar,v3.26.1,sha256:ce095dbe73e108a41118330fbc74e167bfce6de1cf34298c4ac52248b61ecdab,10.71MB
calico,cni,v3.26.1,sha256:fe9c02f83274d42630f24e5d09c08b215d14b1fc7a8a18df71d69000135f27b6,91.89MB
calico,typha,v3.26.1,sha256:0c0b439b57134083de90a73c7f3ad0e5a1239fc8c4a51402e39c849d773db921,27.88MB
cb-dragonfly-test,cb-dragonfly,cortado-test-0.3-mcks-collector,sha256:45a7b207f15daf7b49c657b9cd514875d30caba7e7faf85bf22967829b932245,105.75MB
cb-dragonfly-test,cb-dragonfly,cortado-test-0.3-mcis-collector,sha256:52e4d469e9e157edc755c7b938dacc931f11c6a14f65f495a73a5f96770386a8,103.20MB
cb-dragonfly-test,cb-dragonfly,cortado-test-0.3,sha256:e1d87181013693be7e53c22f81a1fd80d13608ad9553f1574d99ad65c9ce8e33,112.01MB
cb-operator,cb-dragonfly-kapacitor,1.5,sha256:43ed1e460617ce971fc3a62851038348c2a7f831e0a62950215950bbbd838ced,106.55MB
cb-operator,cb-dragonfly-kafka,2.12-2.4.1,sha256:825f2430e6d7b60ecfa9f381c79a2cdccc7f27507df6523fcaca18bfab1d2370,189.66MB
cb-operator,cb-dragonfly-zookeeper,latest,sha256:83356b7df6f52cc1b9ca941b71dbfa9d1b092413e1ec24546ae68f5f795f6796,242.70MB
cb-operator,cb-dragonfly-influxdb,1.8-alpine,sha256:da9e53019e9e915278d9b6a199a64cc8486e13528411101f75385bb7f2e709a1,56.23MB
cb-operator,cb-dragonfly,0.6.0,sha256:1e7a80a707d09ed1cfe79c2f9d52ab0260c7533b40a7b689c84b64c8636264b9,97.75MB
cb-operator,cb-dragonfly,0.5.1,sha256:fb7cec99a9a97ccb0a70b98fcc31e6040fe22cc5783553507fa84f546568616f,81.76MB
cb-operator,cb-mcks,0.5.1,sha256:9ed38c392691522c743308847c2c9f910adcbddcbe8e04df07efec7b0d6e7ced,9.63MB
cb-operator,cb-mapui,0.5.1,sha256:7d3663e969c31816a67e8eae5b0e1a01f79b63ea7f71e41f54c9632eba3a9906,87.17MB
cb-operator,cb-tumblebug-phpliteadmin,latest,sha256:17ac13a41106193cd8681c10b21a1bf3ff9215136b34fb386e21be1c3140b0a6,29.33MB
cb-operator,cb-tumblebug,0.5.0,sha256:dd3aa08879f261b093782c25327a0f79dee971893c2529f9db0c0725c000da56,41.39MB
cb-operator,cb-spider,0.5.3,sha256:85d16d4cf6185d591214345bf9945bc2d09a3eb7af47be4a48fc9a738b9beaed,86.55MB
cb-operator,metric-all-in-one,latest,sha256:b16a21339d94ebc8aee7380b65ae426e44d92e2750083cdcbc4f58b3cccf3f61,29.39MB
cb-operator,metric-grafana,7.4.5,sha256:7c48a0bae126432bfc5b910f68f9d290170c4ffdc48cf8be6a34cb0b95c3b63f,61.38MB
cb-operator,metric-influxdb,1.8.4,sha256:1ab363ccda86fd2a585a4ddb4f9dfda01305a92ba661155faa4d9ef614a9a067,120.15MB
chartsimage,curl,8.2.1,sha256:3154ae99b5be541a373c1c04ea32dd4f2b1cda26bbc69fcc15a0c70e84ef9f62,9.30MB
chartsimage,openjdk11,alpine,sha256:a3034314259981b47ef3bc39871e670d72c63a4d4348c60a198917a4ed6dad77,195.81MB
chartsimage,busybox,1.36,sha256:d319b0e3e1745e504544e931cde012fc5470eba649acc8a7b3607402942e5db7,2.12MB
chartsimage,sonarqube,10.4.0-community,sha256:b86e082db1d50ed0979d7acad1f2ec426ce54927c7df0c3b8c2b083c8ab9b80c,531.41MB
chartsimage,minideb,buster,sha256:36fb5df429bba9f5cde5ebbcbc745ff899caa9846455b006c58a1febde308567,25.53MB
chartsimage,nexus3,3.61.0,sha256:935c2ef24392cd446c9670d935378d0824ec7d7dc0d3a38902e958f400457808,314.92MB
chartsimage,harbor-exporter,v2.10.0,sha256:25547cc618c6828c982f246201e1c172604cccc8985ce6671171ff3b0a1a2a83,45.04MB
chartsimage,redis-photon,v2.10.0,sha256:24726436248456e9cc60144a4ab414f28af1a6f6aeb6b481e115353c3b8a6e81,57.84MB
chartsimage,harbor-db,v2.10.0,sha256:bd3ed7a8783a3c71b20bc0e2f5fbe8417dc97b032b1229e47b360bd58521b4f8,101.32MB
