project,repo,tag,digest,size
2fauth,secloudit-2fauth,v1.0.0,sha256:325a830464f4bdcceeb8a3955eee71ce8b5b771d4e3a2b08aad0f2be38e2a498,33.37MB
ai-platform,mlflow-auth-sidecar,latest,sha256:ccd3bb6ff04dc5c69487d5a01b5339078fad2f8da68bb38c6523086fdbb4a154,52.57MB
ai-platform,orchestration-service,ct-v3,sha256:dd3521a4f9bae92458849b397c324340bd5b7938a6af415592b96c911af5cb01,137.77MB
ai-platform,orchestration-service,ct-v2,sha256:b897803a21707afe4dfdecb1b7ddbc65a4df8ae451a5dbfd082986ccd57e0c96,137.76MB
ai-platform,orchestration-service,ct-v1,sha256:f6205d7b4fa71a032fcba5812e13d8ff1188aee582f388c5f0cd3069e93b32f0,137.76MB
ai-platform,orchestration-service,train-api-v7,sha256:16c084bdfd4fb216c93fa32ea49858ab30e0b19ebb68a5eb723b9e56d3379851,137.76MB
ai-platform,orchestration-service,train-api-v6,sha256:2f9e00af6c534240745a10a02af3bcd70aba1c99adcb9d08c8f9b490e8b309e3,137.76MB
ai-platform,orchestration-service,train-api-v5,sha256:429532a38631578f07475948bc277646872a9c79c1a69cd67fa9f52fc041bc03,137.76MB
ai-platform,orchestration-service,train-api-v4,sha256:a054ccd4d1d9440d36d2c3dc8834e2425466303e505e3796e03e6195e87820ef,137.76MB
ai-platform,orchestration-service,train-api-v3,sha256:c3ce47639af84d82215315e8119cb8c780ad4b779211fb6757c3fd679a5ec16e,137.76MB
ai-platform,orchestration-service,train-api-v2,sha256:ef162ec97bf6403cf5107c52898cf67556794cf51f3b1fed2823cd0fc06a9516,137.76MB
ai-platform,orchestration-service,train-api-v1,sha256:32c430417fdff88f5891b36585555522a03f2210e732fb0a75c485929753472d,137.76MB
ai-platform,kwater-backend,v1-gpu,sha256:f6703a03d8b649a8a548aa2350ab42ba0f2d4284b76d099d227997d8cb93eea6,4421.70MB
ai-platform,kwater-backend,v1,sha256:4bdf0ff0b11bca9232ef9314c9763855d3a3b08ee478d4d486f155d2720eed93,643.22MB
ai-platform,kwater-frontend,v1,sha256:4c3950c8cd9b037edbe09685dcd6e2b5964fb5e972d0902411d1dcf6fcae04a5,50.06MB
ai-platform,drift-frontend,latest,sha256:3d1adcee19d5d48d0e5746b3df482234127f6afc80498e69fb135e21c39ccb6e,72.17MB
ai-platform,drift-backend,latest,sha256:f8b32fca1a450cf02d6981fa1ca6bb18086d85fe802d1e4644506f3e04b80a85,4493.09MB
ai-platform,opensearch-dashboards,3.5.0,sha256:2b02736448e5d6e080fc9e3963821c4c1e2461b3a1a0e588e7135e6712ac860c,552.41MB
ai-platform,automl-ray,2.52.1,sha256:e7a75a1e5a1ec25375c8345014c87fc842ce6a62de872720f9204fcd0ee8fd9b,10646.24MB
ai-platform,ray,2.52.1-py312,sha256:1c3ff42db289ab0d1ff9945fdeb61936eb61765cd5d17ac590464fc470f943d6,872.79MB
ai-platform,virtualenv,0.0.1,sha256:437c8e934c0972d8a11c3dda0521bdbbb50cb057ce37382cf9b0bd689b8f9580,155.73MB
ai-platform,train-api,latest,sha256:d41f2f289378ce6a4372282072ff75cfcfb784e60f4489dd975e125fc80255b2,241.42MB
ai-platform,jupyterlab,innogrid-3.12,sha256:24c63cf60b8c1be80b8ff39adfd8965148a0572bfe9af1006c429c43ad7460a0,898.22MB
ai-platform,jupyterlab,hub-5.4.3,sha256:8005c1fc9db6fcb8bcd7be605a158269eac983820462bcb7d73633560fe1a252,691.06MB
airflow,mlflow,latest,sha256:8361dd521dae545534ab2961366f408be754b3d4d100c384a57538bfb1e1a726,264.11MB
airflow,workflow,0.1.8,sha256:60443a278ce8cb3d02bb623dddc12e51454225f1d6aba15332a921173cf3f386,163.22MB
airflow,workflow,0.1.7,sha256:ea855953cabdc990fa504a73ef98783a964a5461854e70eba509ba43b8fa91b4,163.22MB
airflow,workflow,0.1.6,sha256:bb276365df1d4a1a6270f6004060fec76c25c0d5d6872fa6d867bac7ed61f549,163.22MB
